search,name,stars,prize,weight,freshness,url,category
artif. sweetener,"Lakanto Classic Monkfruit Sweetener - 1:1 White Sugar Substitute, Zero Calorie, Keto Diet Friendly, Zero Net Carbs, Zero Glycemic, Baking, Extract, Sugar Replacement (Classic White - 8.29 Oz)",4.7 out of 5 stars,$5.95 ,8.29 Ounce (Pack of 1),0,https://m.media-amazon.com/images/I/91vAcb3Ya6L._SL1500_.jpg,dessert
chocolate,"Ferrero Rocher Fine Hazelnut Milk Chocolate, 24 Count, Chocolate Candy Gift Box, 10.5 oz",4.8 out of 5 stars,$39.95 ,24 Count (Pack of 1),0,https://m.media-amazon.com/images/I/91qi6PV+XBL._SL1500_.jpg,dessert
chocolate marshmallow,"Sarah's Candy Factory Mini Dehydrated Chocolate Marshmallow Bits in Jar, 2.5 lb",4.4 out of 5 stars,$10.99 ,2 Pound,0,https://m.media-amazon.com/images/I/713ipK0eliL._SL1303_.jpg,dessert
pudding powder,Dr. Oetker Vanilla Pudding 1.5 oz (Pack of 6),4.8 out of 5 stars,$9.97 ,1.5 Ounce (Pack of 6),0,https://m.media-amazon.com/images/I/61R0pa-wIcL.jpg,dessert
specialty fat,"Thatcher's Gourmet Specialties Popcorn, Fat-Free Caramel Corn, 8-Ounce Bags (Pack of 12)",3.5 out of 5 stars,$38.30 ,2.63 Pound (Pack of 1),0,https://m.media-amazon.com/images/I/41nvJVF6v6L.jpg,dessert
sugar,"Lakanto Golden Monkfruit Sweetener - 1:1 Raw Cane Sugar Substitute, Zero Calorie, Keto Diet Friendly, Zero Net Carbs, Zero Glycemic, Baking, Extract, Sugar Replacement (Golden - 8.29 ounces)",4.7 out of 5 stars,$5.97 ,8.29 Ounce (Pack of 1),0,https://m.media-amazon.com/images/I/81nCMeI15kS._SL1500_.jpg,dessert
tea,"Twinings of London Tea Classics Collection, Variety Gift Box Sampler, 48 Tea Bags (Pack of 1)",4.7 out of 5 stars,$21.99 ,24 Count (Pack of 1),1,https://m.media-amazon.com/images/I/81u82X9IjZL._SL1500_.jpg,drink
UHT-milk,Parmalat Shelf Stable UHT Whole Milk 1 Qt (Pack of 6),4.6 out of 5 stars,$30.56 ,32 Fl Oz (Pack of 6),0,https://m.media-amazon.com/images/I/71fQ9xphOdL._SL1500_.jpg,drink
whole milk,"Maple Hill Shelf Stable Whole White Milk 100% Grass Fed, Organic, Non-GMO: 16 pack 8 Fl Oz Aseptic Milk Boxes",4.5 out of 5 stars,$39.99 ,8 Fl Oz (Pack of 16),0,https://m.media-amazon.com/images/I/712KlAIkEBL._SL1500_.jpg,drink
soda,"18 Pack BGM Assortment of Soda, Coca-Cola, Pepsi, Dr Pepper, Mountain Dew, Sprite and Ginger Ale Refrigerator Restock Kit (Pack of 18)",4.2 out of 5 stars,$33.99 ,12 Fl Oz (Pack of 18),0,https://m.media-amazon.com/images/I/81GPKroTsNL._SL1500_.jpg,drink
packaged fruit/vegetables,"Dole Fruit Bowls Diced Peaches in 100% Juice, Gluten Free Healthy Snack, 4 Oz, 12 Total Cups",4.8 out of 5 stars,$26.47 ,4 Ounce (Pack of 12),0,https://m.media-amazon.com/images/I/81u6mQeOSmL._SL1500_.jpg,drink
coffee,"Cafe Gavina Espresso Roast Extra Fine Ground Coffee, 100% Arabica, (3 x 10-Ounce Cans)",4.6 out of 5 stars,$21.19 ,Ground,0,https://m.media-amazon.com/images/I/81Oaj1FFnCS._SL1500_.jpg,drink
instant coffee,"Rapidfire Ketogenic Fair Trade Instant Keto Coffee Mix Supports Energy Metabolism Weight Loss Ketogenic Diet Canister 15 servings, Original, 7.93 Ounce",4.2 out of 5 stars,$14.97 ,Original,0,https://m.media-amazon.com/images/I/71Sn-8N-cdL._AC_SL1500_.jpg,drink
Instant food products,"Rapidfire Ketogenic High Performance Instant Coffee Mix, Supports Energy and Metabolism, 15 Servings, brown, 7.93 ounce (pack of 1)",4.2 out of 5 stars,$14.97 ,7.93 Ounce (Pack of 1),0,https://m.media-amazon.com/images/I/71XZGPopMML._AC_SL1500_.jpg,drink
